queryID, subjectID
contig1,AT2G20190
contig10,AT2G06050
contig100,AT4G02480
contig1000,AT4G25230
contig10000,AT5G66760
contig100003,AT5G62890
contig10001,AT5G66760
contig100013,AT1G65820
contig100017,AT3G62560
contig100018,AT5G07740
contig10002,AT5G66760
contig100020,AT5G50860
contig100026,AT1G09280
contig10003,AT5G66760
contig100033,AT1G67960
contig100039,AT5G03640
contig10004,AT5G66760
contig100042,AT5G47760
contig100044,AT1G49750
contig100046,AT1G01930
contig100049,AT1G02080
contig10005,AT5G66760
contig100051,AT3G48170
contig100054,AT4G17790
contig100055,AT2G29080
contig100056,AT2G42300
contig100059,AT1G35710
contig10006,AT5G66760
contig100063,AT5G47030
contig10007,AT5G66760
contig100072,AT4G14240
contig100077,AT3G33530
contig10008,AT5G66760
contig100080,AT1G51600
contig100087,AT5G57123
contig10009,AT5G66760
contig100091,AT5G20720
contig100094,AT1G33480
contig100096,AT4G14680
contig100097,AT3G09970
contig100099,AT4G17330
contig1001,AT5G51450
contig100105,AT1G77460
contig100106,AT3G48470
contig10011,AT3G25110
contig100115,AT1G01320
contig100117,AT4G34000
contig10012,AT4G13050
contig100121,AT5G06270
contig100123,AT3G20540
contig10013,AT3G25110
contig100132,AT5G16930
contig100135,AT3G49500
contig100136,AT1G71870
contig10014,AT4G13050
contig100140,AT4G14950
contig100142,AT5G62090
contig100143,AT5G59750
contig100147,AT3G19210
contig100148,AT5G26570
contig10015,AT3G25110
contig100152,AT5G55970
contig100155,AT3G11900
contig10016,AT4G13050
contig100165,AT4G13550
contig10017,AT3G25110
contig100171,AT2G39650
contig100174,AT3G25210
contig100178,AT1G66740
contig10018,AT3G25110
contig100180,AT5G01240
contig100187,AT4G34950
contig100189,AT1G14560
contig10019,AT4G13050
contig1002,AT4G12970
contig10020,AT3G25110
contig100202,AT2G24630
contig100206,AT4G23180
contig100208,AT3G19340
contig10021,AT3G25110
contig100213,AT1G80890
contig100214,AT2G27150
contig100216,AT4G18160
contig10022,AT3G25110
contig100224,AT2G40360
contig100225,AT1G03010
contig100226,AT1G72160
contig10023,AT4G13050
contig100230,AT3G15000
contig100232,AT5G08020
contig100239,AT1G17665
contig10024,AT4G01790
contig100241,AT3G08850
contig100243,AT2G24580
contig100245,AT3G16360
contig100250,AT1G22040
contig100254,AT5G19990
contig100255,AT2G48120
contig100258,AT4G02800
contig10026,AT4G01790
contig100261,AT4G03110
contig100265,AT1G27620
contig100269,AT1G09010
contig10027,AT4G01790
contig100270,AT5G51570
contig100273,AT1G29940
contig100274,AT3G28940
contig10028,AT1G70370
contig100281,AT1G15750
contig100286,AT3G18524
contig100287,AT3G27530
contig10029,AT1G70370
contig100290,AT2G26900
contig100293,AT2G31820
contig1003,AT4G25230
contig10030,AT5G64460
contig100303,AT3G03790
contig100304,AT1G52210
contig100308,AT1G55020
contig10031,AT1G58280
contig100310,AT4G10040
contig100311,AT4G32060
contig100316,AT1G15690
contig100319,AT1G70150
contig10032,AT5G64940
contig100323,AT3G42766
contig100326,AT2G39280
contig100327,AT4G30790
contig10033,AT5G64940
contig100332,AT1G77320
contig100335,AT4G16420
contig100336,AT5G42980
contig100339,AT4G21620
contig10034,AT5G64940
contig100343,AT3G23620
contig100344,AT1G19110
contig100349,AT1G48650
contig100352,AT4G12130
contig100353,AT2G37860
contig100355,AT4G00030
contig100357,AT4G11560
contig100368,AT3G57630
contig100375,AT1G77590
contig10038,AT1G07615
contig100385,AT2G28380
contig100386,AT2G37410
contig100393,AT4G11410
contig100394,AT4G14145
contig100395,AT2G30350
contig100396,AT1G56720
contig100398,AT1G67660
contig1004,AT5G51450
contig100403,AT5G53970
contig100405,AT5G02240
contig100406,AT4G34460
contig100407,AT2G01740
contig100408,AT2G26280
contig100409,AT3G57550
contig100410,AT2G17760
contig100412,AT5G13100
contig100419,AT4G32730
contig100421,AT2G14680
contig10043,AT5G28740
contig100431,AT2G19120
contig100435,AT1G02145
contig100436,AT3G52990
contig10044,AT1G34430
contig100440,AT5G22300
contig100447,AT1G04690
contig100449,AT5G12130
contig10045,AT1G34430
contig100458,AT2G22300
contig10046,AT3G06820
contig100463,AT5G05610
contig100464,AT3G19960
contig100466,AT3G53340
contig100467,AT4G09010
contig10047,AT3G06820
contig100472,AT2G47430
contig100476,AT3G26540
contig100477,AT1G01880
contig100478,AT4G22756
contig10048,AT1G80210
contig100482,AT2G22010
contig100491,AT5G22000
contig100492,AT3G52180
contig100496,AT3G16200
contig100503,AT3G13060
contig100504,AT4G19420
contig100507,AT5G63950
contig100508,AT4G21065
contig10051,AT5G56940
contig100511,AT3G56760
contig100515,AT1G12000
contig100519,AT3G09840
contig10052,AT5G56940
contig100520,AT2G44640
contig100525,AT4G34050
contig100527,AT1G59650
contig10053,AT5G60690
contig100530,AT4G15215
contig100536,AT3G15110
contig10054,AT4G32880
contig100542,AT3G59690
contig100543,AT3G50660
contig100545,AT4G33910
contig100550,AT5G57660
contig100552,AT2G18020
contig100554,AT3G04520
contig100559,AT4G03030
contig10056,AT2G47940
contig100564,AT1G05350
contig100566,AT4G02560
contig100569,AT3G46290
contig10057,AT2G47940
contig100571,AT2G45720
contig100575,AT3G10070
contig100576,AT5G19220
contig100577,AT3G04350
contig100578,AT3G17185
contig10058,AT2G47940
contig100582,AT4G25420
contig100584,AT3G59570
contig100588,AT3G09430
contig10059,AT2G47940
contig100593,AT5G03650
contig100595,AT5G54110
contig100598,AT4G26510
contig1006,AT4G12970
contig10060,AT2G47940
contig100601,AT1G02520
contig100602,AT2G16780
contig10061,AT2G47940
contig100614,ATCG01010
contig100630,AT5G15700
contig100631,AT4G35830
contig100636,AT1G14030
contig100637,AT4G05440
contig100640,AT1G50020
contig100642,AT2G40320
contig100646,AT4G11240
contig100647,AT2G32980
contig100650,AT1G05910
contig100652,AT4G31780
contig100653,AT2G32120
contig100656,AT2G19520
contig100657,AT4G08500
contig100659,ATCG00540
contig100666,AT5G63140
contig100667,AT4G15236
contig100670,AT3G05670
contig100673,AT3G02580
contig100674,AT5G19620
contig100677,AT3G60245
contig100679,AT3G08960
contig10068,AT2G28060
contig100681,AT2G34710
contig100683,AT5G16520
contig100684,AT3G14620
contig100685,AT1G29330
contig100686,AT3G57470
contig100687,AT5G22350
contig100689,AT4G22130
contig100690,AT3G14075
contig100695,AT2G16260
contig100696,AT2G04620
contig100699,AT1G80500
contig1007,AT1G12600
contig10070,AT2G28060
contig100700,AT2G16050
contig100701,AT2G25610
contig100702,ATCG00150
contig100704,AT1G06330
contig100707,AT5G59910
contig100712,AT2G25310
contig100716,AT3G07550
contig100719,AT4G17090
contig100721,AT3G54660
contig100724,AT1G69740
contig100732,AT2G26700
contig100736,AT4G34270
contig100737,AT4G21770
contig100738,AT2G01950
contig100747,AT5G01960
contig100748,AT5G47310
contig100751,AT1G59750
contig100754,AT5G05580
contig100756,AT1G68200
contig100758,AT2G42600
contig10076,AT1G64950
contig100760,AT5G32440
contig100765,AT3G03305
contig100767,AT3G30300
contig100768,AT3G52730
contig10077,AT1G64940
contig100777,AT1G52700
contig10078,AT3G62040
contig100780,AT2G16890
contig100781,AT1G74680
contig100783,ATMG00490
contig100788,AT2G35630
contig100789,AT3G29230
contig10079,AT3G62040
contig100791,AT2G25170
contig100792,AT2G21710
contig100793,AT4G24460
contig100795,AT3G53090
contig100796,AT3G55270
contig100797,AT1G80380
contig100798,AT5G16250
contig1008,AT1G12600
contig100812,AT3G18940
contig100825,AT4G09670
contig100826,AT1G31230
contig100827,AT4G22140
contig10083,AT5G20940
contig100835,AT1G76160
contig10084,AT5G20940
contig100843,AT3G26140
contig100844,AT5G38030
contig100848,AT1G09770
contig10085,AT4G02070
contig100851,AT4G04540
contig100855,AT1G35560
contig100857,AT1G76030
contig10086,AT4G02070
contig100867,AT4G03115
contig100869,AT5G05970
contig10087,AT3G21190
contig100876,AT4G26970
contig100877,AT1G73320
contig100878,AT1G67060
contig100879,AT1G28685
contig10088,AT3G21190
contig100883,AT4G24660
contig100888,AT2G36480
contig10089,AT3G21190
contig100890,AT5G53550
contig100894,AT4G13200
contig100897,AT3G27180
contig1009,AT1G12600
contig10090,AT3G21190
contig100902,AT3G42950
contig100904,AT1G71230
